Journey_Name,Date,Total_Sent,Total_Delivered,Delivery_Rate,Total_Bounces,Bounce_Rate,Total_Soft_Bounces,Soft_Bounce_Rate,Total_Hard_Bounces,Hard_Bounce_Rate,Total_Block_Bounces,Block_Bounce_Rate,Total_Opens,Unique_Opens,Unique_Open_Rate,Unique_Mobile_Opens,Unique_Mobile_Open_Rate,Total_Clicks,Unique_Clicks,Unique_Click_Rate,Total_Unsubscribes,Unsubscribe_Rate,Total_Conversions,Conversion_Rate,,,,
FY21 Graduate Information Session,12/14/2020,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,25.00%,1,25.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/13/2020,5,5,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1,20.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/12/2020,8,8,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,3,37.50%,1,12.50%,1,1,12.50%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/11/2020,9,9,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2,22.22%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/10/2020,4,4,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,2,50.00%,1,25.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/09/2020,9,9,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,3,33.33%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/08/2020,29,29,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,15,51.72%,5,17.24%,3,3,10.34%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/07/2020,3,3,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,1,33.33%,1,33.33%,1,1,33.33%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/06/2020,2,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
FY21 Graduate Information Session,12/05/2020,1,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,,,,
